asc_file,participant,block,image,reason
k01.asc,K01,1,cut_apple.png,not found in stimuli folder
k01.asc,K01,3,dogs_bite.png,not found in stimuli folder
k01_2.asc,K01,1,cut_apple.png,not found in stimuli folder
k01_2.asc,K01,3,dogs_bite.png,not found in stimuli folder
k01_2.asc,K01,57,pull-2-2-r.png,not found in stimuli folder
k02.asc,K02,1,cut_apple.png,not found in stimuli folder
k02.asc,K02,3,dogs_bite.png,not found in stimuli folder
k02.asc,K02,59,pull-2-2-r.png,not found in stimuli folder
k03.asc,K03,1,cut_apple.png,not found in stimuli folder
k03.asc,K03,3,dogs_bite.png,not found in stimuli folder
k03_2.asc,K03,1,cut_apple.png,not found in stimuli folder
k03_2.asc,K03,3,dogs_bite.png,not found in stimuli folder
k03_2.asc,K03,58,pull-2-2-r.png,not found in stimuli folder
k04.asc,K04,1,cut_apple.png,not found in stimuli folder
k04.asc,K04,3,dogs_bite.png,not found in stimuli folder
k04.asc,K04,56,pull-2-2-r.png,not found in stimuli folder
k04_1.asc,K04,1,cut_apple.png,not found in stimuli folder
k04_1.asc,K04,3,dogs_bite.png,not found in stimuli folder
k05.asc,K05,1,cut_apple.png,not found in stimuli folder
k05.asc,K05,3,dogs_bite.png,not found in stimuli folder
k06.asc,K06,1,cut_apple.png,not found in stimuli folder
k06.asc,K06,3,dogs_bite.png,not found in stimuli folder
k06.asc,K06,55,pull-2-2-r.png,not found in stimuli folder
k06_1.asc,K06,1,cut_apple.png,not found in stimuli folder
k06_1.asc,K06,3,dogs_bite.png,not found in stimuli folder
k07.asc,K07,1,cut_apple.png,not found in stimuli folder
k07.asc,K07,3,dogs_bite.png,not found in stimuli folder
k07_2.asc,K07,1,cut_apple.png,not found in stimuli folder
k07_2.asc,K07,3,dogs_bite.png,not found in stimuli folder
k07_2.asc,K07,55,pull-2-2-r.png,not found in stimuli folder
k08_2_p2.asc,K08,1,cut_apple.png,not found in stimuli folder
k08_2_p2.asc,K08,3,dogs_bite.png,not found in stimuli folder
k08_2_p2.asc,K08,126,pull-2-2-r.png,not found in stimuli folder
k09.asc,K09,1,cut_apple.png,not found in stimuli folder
k09.asc,K09,3,dogs_bite.png,not found in stimuli folder
k09_2.asc,K09,1,cut_apple.png,not found in stimuli folder
k09_2.asc,K09,3,dogs_bite.png,not found in stimuli folder
k09_2.asc,K09,55,pull-2-2-r.png,not found in stimuli folder
k10.asc,K10,1,cut_apple.png,not found in stimuli folder
k10.asc,K10,3,dogs_bite.png,not found in stimuli folder
k10.asc,K10,60,pull-2-2-r.png,not found in stimuli folder
k10_1.asc,K10,1,cut_apple.png,not found in stimuli folder
k10_1.asc,K10,3,dogs_bite.png,not found in stimuli folder
k11.asc,K11,1,cut_apple.png,not found in stimuli folder
k11.asc,K11,3,dogs_bite.png,not found in stimuli folder
k11_2.asc,K11,1,cut_apple.png,not found in stimuli folder
k11_2.asc,K11,3,dogs_bite.png,not found in stimuli folder
k11_2.asc,K11,58,pull-2-2-r.png,not found in stimuli folder
k13.asc,K13,1,cut_apple.png,not found in stimuli folder
k13.asc,K13,3,dogs_bite.png,not found in stimuli folder
k13_2.asc,K13,1,cut_apple.png,not found in stimuli folder
k13_2.asc,K13,3,dogs_bite.png,not found in stimuli folder
k13_2.asc,K13,62,pull-2-2-r.png,not found in stimuli folder
k14.asc,K14,1,cut_apple.png,not found in stimuli folder
k14.asc,K14,2,cut_apple.png,not found in stimuli folder
k14.asc,K14,4,dogs_bite.png,not found in stimuli folder
k14.asc,K14,76,pull-2-2-r.png,not found in stimuli folder
k14_1.asc,K14,1,cut_apple.png,not found in stimuli folder
k14_1.asc,K14,3,dogs_bite.png,not found in stimuli folder
k15.asc,K15,1,cut_apple.png,not found in stimuli folder
k15.asc,K15,2,cut_apple.png,not found in stimuli folder
k15.asc,K15,5,dogs_bite.png,not found in stimuli folder
k15.asc,K15,80,pull-2-2-r.png,not found in stimuli folder
k15.asc,K15,81,pull-2-2-r.png,not found in stimuli folder
k15.asc,K15,82,pull-2-2-r.png,not found in stimuli folder
k15.asc,K15,83,pull-2-2-r.png,not found in stimuli folder
k15.asc,K15,84,pull-2-2-r.png,not found in stimuli folder
k15_1.asc,K15,1,cut_apple.png,not found in stimuli folder
k15_1.asc,K15,3,dogs_bite.png,not found in stimuli folder
k15_2.asc,K15,1,cut_apple.png,not found in stimuli folder
k15_2.asc,K15,3,dogs_bite.png,not found in stimuli folder
k15_2.asc,K15,57,pull-2-2-r.png,not found in stimuli folder
k16.asc,K16,1,cut_apple.png,not found in stimuli folder
k16.asc,K16,3,dogs_bite.png,not found in stimuli folder
k16_2.asc,K16,1,cut_apple.png,not found in stimuli folder
k16_2.asc,K16,3,dogs_bite.png,not found in stimuli folder
k16_2.asc,K16,56,pull-2-2-r.png,not found in stimuli folder
k17.asc,K17,1,cut_apple.png,not found in stimuli folder
k17.asc,K17,3,dogs_bite.png,not found in stimuli folder
k17.asc,K17,55,pull-2-2-r.png,not found in stimuli folder
k17_1.asc,K17,1,cut_apple.png,not found in stimuli folder
k17_1.asc,K17,3,dogs_bite.png,not found in stimuli folder
k18.asc,K18,1,cut_apple.png,not found in stimuli folder
k18.asc,K18,3,dogs_bite.png,not found in stimuli folder
k18_2.asc,K18,1,cut_apple.png,not found in stimuli folder
k18_2.asc,K18,3,dogs_bite.png,not found in stimuli folder
k18_2.asc,K18,60,pull-2-2-r.png,not found in stimuli folder
k19.asc,K19,1,cut_apple.png,not found in stimuli folder
k19.asc,K19,3,dogs_bite.png,not found in stimuli folder
k19.asc,K19,70,pull-2-2-r.png,not found in stimuli folder
k19_1.asc,K19,1,cut_apple.png,not found in stimuli folder
k19_1.asc,K19,3,dogs_bite.png,not found in stimuli folder
k20.asc,K20,1,cut_apple.png,not found in stimuli folder
k20.asc,K20,3,dogs_bite.png,not found in stimuli folder
k20_2.asc,K20,1,cut_apple.png,not found in stimuli folder
k20_2.asc,K20,3,dogs_bite.png,not found in stimuli folder
k20_2.asc,K20,79,pull-2-2-r.png,not found in stimuli folder
k22.asc,K22,1,cut_apple.png,not found in stimuli folder
k22.asc,K22,5,dogs_bite.png,not found in stimuli folder
k22.asc,K22,76,pull-2-2-r.png,not found in stimuli folder
k22_1.asc,K22,1,cut_apple.png,not found in stimuli folder
k22_1.asc,K22,3,dogs_bite.png,not found in stimuli folder
k24.asc,K24,1,cut_apple.png,not found in stimuli folder
k24.asc,K24,3,dogs_bite.png,not found in stimuli folder
k24.asc,K24,68,pull-2-2-r.png,not found in stimuli folder
k24.asc,K24,69,pull-2-2-r.png,not found in stimuli folder
k24_1.asc,K24,1,cut_apple.png,not found in stimuli folder
k24_1.asc,K24,3,dogs_bite.png,not found in stimuli folder
k25.asc,K25,1,cut_apple.png,not found in stimuli folder
k25.asc,K25,3,dogs_bite.png,not found in stimuli folder
k25_2.asc,K25,1,cut_apple.png,not found in stimuli folder
k25_2.asc,K25,3,dogs_bite.png,not found in stimuli folder
k25_2.asc,K25,60,pull-2-2-r.png,not found in stimuli folder
