participant,sessions,n_passive_trials,eligible_gt_threshold,mean_speech_onset_ms
RAI,RAI_a3;RAI_b1;RAI_b2,27,yes,2455.407407
SED,SED__a2;SED_a3;SED_b1,27,yes,1569.592593
PRM,PRM_a1;PRM_b3,18,yes,2100.611111
IEM,IEM_a1;IEM_a2;IEM_b3,15,no,2831.133333
IMI,IMI_a3;IMI_b1;IMI_b2,15,no,2762.400000
RLI,RLI__b3;RLI_a1;RLI_b2,14,no,2090.928571
REI,REI_a2;REI_b1;REI_b3,12,no,3730.333333
GVD,GVD_a2;GVD_b3,9,no,1590.000000
ATL,ATL_a3;ATL_b2,8,no,2583.125000
ZAL,ZAL_b1;ZAL_b3,8,no,2555.625000
TVG,TVG__a2;TVG_a3;TVG_b1,7,no,2313.571429
KSM,KSM_a1;KSM_b2,6,no,2845.500000
SLT,SLT_a1,1,no,5331.000000
TPM,TPM_a1,1,no,2699.000000
