participant,n_trials,n_active_trials,n_passive_trials,n_trials_reaching_3500ms,percent_trials_reaching_3500ms,mean_speech_onset_ms,min_speech_onset_ms,max_speech_onset_ms,max_available_sample_ms_1based,n_extracted_samples
ATL_a3,22,17,5,3,13.636364,2426.954545,1505.000000,4312.000000,3500,52380
ATL_b2,21,18,3,3,14.285714,2577.000000,1500.000000,4230.000000,3500,53112
GVD_a2,12,8,4,1,8.333333,2073.416667,1377.000000,6296.000000,3500,22096
GVD_b3,9,4,5,1,11.111111,1716.444444,1144.000000,2799.000000,3500,17410
IEM_a1,19,15,4,0,0.000000,2201.578947,1348.000000,3144.000000,3145,41849
IEM_a2,19,14,5,4,21.052632,2854.947368,1867.000000,4486.000000,3500,52205
IEM_b3,19,13,6,4,21.052632,2896.631579,1349.000000,4730.000000,3500,52501
IMI_a3,22,18,4,7,31.818182,2897.772727,1713.000000,4333.000000,3500,61028
IMI_b1,23,16,7,9,39.130435,3063.347826,1754.000000,4575.000000,3500,66185
IMI_b2,22,18,4,3,13.636364,2692.272727,1714.000000,5926.000000,3500,54715
KSM_a1,8,5,3,3,37.500000,3219.750000,2207.000000,4117.000000,3500,24540
KSM_b2,11,8,3,0,0.000000,2456.909091,1763.000000,3350.000000,3351,27037
PRM_a1,20,12,8,5,25.000000,2455.650000,1125.000000,4418.000000,3500,47381
PRM_b3,21,11,10,0,0.000000,1854.285714,1297.000000,3166.000000,3167,38961
RAI_a3,24,16,8,4,16.666667,2505.666667,1347.000000,5163.000000,3500,55794
RAI_b1,23,13,10,0,0.000000,2389.956522,1174.000000,3420.000000,3421,54992
RAI_b2,22,13,9,3,13.636364,2292.909091,1208.000000,4431.000000,3500,48268
REI_a2,17,14,3,9,52.941176,3872.176471,2415.000000,6444.000000,3500,54323
REI_b1,16,9,7,8,50.000000,3601.375000,1628.000000,5551.000000,3500,49254
REI_b3,14,12,2,7,50.000000,3667.785714,2294.000000,6151.000000,3500,43363
RLI__b3,22,15,7,0,0.000000,1639.136364,1108.000000,2402.000000,2403,36083
RLI_a1,20,19,1,2,10.000000,2784.300000,1644.000000,4407.000000,3500,54411
RLI_b2,22,16,6,0,0.000000,2426.136364,1736.000000,2923.000000,2924,53397
SED__a2,19,10,9,0,0.000000,1268.789474,944.000000,2056.000000,2057,24126
SED_a3,13,4,9,0,0.000000,1685.846154,1018.000000,3148.000000,3149,21929
SED_b1,18,9,9,2,11.111111,1879.166667,892.000000,4176.000000,3500,33110
SLT_a1,1,0,1,1,100.000000,5331.000000,5331.000000,5331.000000,3500,3500
SLT_b2,4,4,0,2,50.000000,3966.500000,2776.000000,5309.000000,3500,13260
TPM_a1,12,11,1,1,8.333333,2722.916667,1870.000000,3687.000000,3500,32499
TVG__a2,17,15,2,3,17.647059,2525.411765,1585.000000,5429.000000,3500,40534
TVG_a3,21,17,4,2,9.523810,2471.333333,1625.000000,3983.000000,3500,51079
TVG_b1,16,15,1,5,31.250000,2652.187500,1334.000000,4309.000000,3500,40027
ZAL_b1,16,13,3,2,12.500000,2390.312500,1418.000000,3611.000000,3500,38134
ZAL_b3,17,12,5,0,0.000000,2331.235294,1322.000000,3027.000000,3028,39648
ALL,582,414,168,94,16.151203,2521.570447,892.000000,6444.000000,3500,1399131
