asc_file,participant,parsed_trials,experimental_trials_with_display,clean_behavior_trials_merged,clean_trials_with_last_50ms_bin
ATL_a3.asc,ATL_a3,67,24,22,20
ATL_b2.asc,ATL_b2,68,24,21,21
GVD_a2.asc,GVD_a2,66,24,12,12
GVD_b3.asc,GVD_b3,69,24,9,9
IEM_a1.asc,IEM_a1,78,24,19,16
IEM_a2.asc,IEM_a2,72,24,19,19
IEM_b3.asc,IEM_b3,91,24,19,19
IMI_a3.asc,IMI_a3,68,24,22,21
IMI_b1.asc,IMI_b1,68,24,23,21
IMI_b2.asc,IMI_b2,68,24,22,21
KSM_a1.asc,KSM_a1,74,24,8,8
KSM_b2.asc,KSM_b2,77,24,11,11
PRM_a1.asc,PRM_a1,79,24,20,18
PRM_b3.asc,PRM_b3,72,24,21,13
RAI__a3.asc,RAI_a3,85,24,24,18
RAI_b1.asc,RAI_b1,82,24,23,19
RAI_b2.asc,RAI_b2,87,24,22,17
REI_a2.asc,REI_a2,70,24,17,17
REI_b1.asc,REI_b1,67,24,16,16
REI_b3.asc,REI_b3,65,24,14,14
RLI__b3.asc,RLI__b3,67,24,22,14
RLI_a1.asc,RLI_a1,81,24,20,20
RLI_b2.asc,RLI_b2,80,24,22,21
SED__a2.asc,SED__a2,72,24,19,17
SED_a3.asc,SED_a3,70,24,13,11
SED_b1.asc,SED_b1,96,24,18,17
SLT_a1.asc,SLT_a1,89,24,1,1
SLT_b2.asc,SLT_b2,88,24,4,4
TPM_a1.asc,TPM_a1,104,16,12,12
TVG__a2.asc,TVG__a2,70,24,17,16
TVG_a3.asc,TVG_a3,67,24,21,20
TVG_b1.asc,TVG_b1,66,24,16,16
ZAL_b1.asc,ZAL_b1,139,24,16,12
ZAL_b3.asc,ZAL_b3,109,24,17,17
