model,term,estimate,ci_95_lower,ci_95_upper,p_beta_gt_0
agent_looks,Intercept,0.7962061192997069,0.3442706262174411,1.266474282834764,0.999
agent_looks,polytimedegreeEQ31,27.69062827331969,8.469723529726387,47.71076890464205,0.997
agent_looks,polytimedegreeEQ32,-2.539566328066501,-7.875303445718785,2.554550697352614,0.174
agent_looks,polytimedegreeEQ33,-4.10845517530791,-9.07713905110878,0.8959071874304024,0.05125
agent_looks,direct_vs_inverse,0.06914552653256087,-0.13766432331456346,0.28511499269508617,0.75275
agent_looks,polytimedegreeEQ31:direct_vs_inverse,12.966331561114357,0.8953191051716408,25.891058718737515,0.982
agent_looks,polytimedegreeEQ32:direct_vs_inverse,4.05432966904592,-1.0836229712686638,9.246577836665454,0.93225
agent_looks,polytimedegreeEQ33:direct_vs_inverse,-1.1661063974253325,-6.462741121030362,4.07733421692738,0.327
patient_looks,Intercept,-1.8184029447860055,-2.490562746565611,-1.1607873038250673,0
patient_looks,polytimedegreeEQ31,-54.628376110624984,-78.26798896228593,-31.2728049044176,0
patient_looks,polytimedegreeEQ32,10.1079344840207,4.151996977872369,15.957703107783646,1
patient_looks,polytimedegreeEQ33,-2.1065917345116527,-8.462351661391853,4.332147645703856,0.247
patient_looks,direct_vs_inverse,0.002195754557270286,-0.3272080821516369,0.34270435493407586,0.503
patient_looks,polytimedegreeEQ31:direct_vs_inverse,-7.607494332723506,-26.280344680530078,10.851055410583793,0.211
patient_looks,polytimedegreeEQ32:direct_vs_inverse,-3.729633327011693,-9.574954639945974,2.270688297986625,0.10775
patient_looks,polytimedegreeEQ33:direct_vs_inverse,3.4287289553453704,-2.9976945640873858,9.723297382261267,0.85775
