model,term,estimate,estimate_error,q2.5,q97.5,rhat,bulk_ess,tail_ess
agent_looks,Intercept,0.09971304095358174,0.33678791025578536,-0.4149031981786916,0.7688702666661361,1.0592087125766465,20.12796931740242,41.65336737950848
agent_looks,polytimedegreeEQ31,-44.645607589305875,15.625505899450866,-66.03800280951242,-10.103985886728932,1.459733794762758,2.5039888345908,15.164720237057681
agent_looks,polytimedegreeEQ32,-4.787763849947827,2.6806662410083937,-8.40900295912442,0.12271968713774842,1.0151575465444802,28.281014136991484,39.14886195168745
agent_looks,polytimedegreeEQ33,-3.4761218933205837,2.732394586108982,-7.668347404123827,2.344854553249287,1.0003218872624655,22.949856073953693,39.14886195168745
agent_looks,direct_vs_inverse,-0.3406114883387343,0.10760086912298786,-0.5295255199842024,-0.12341378837960347,0.9887592811004999,59.414647414175946,38.56369727686625
agent_looks,polytimedegreeEQ31:direct_vs_inverse,-15.034864500707249,3.270961938139414,-21.27465745902002,-9.447277041352987,1.2181261018866847,9.739818384754226,16.202123036811685
agent_looks,polytimedegreeEQ32:direct_vs_inverse,5.658656969828115,2.5351791781826063,-0.9331284605682943,8.941873559300117,0.9875082578451843,34.20165235628256,39.14886195168745
agent_looks,polytimedegreeEQ33:direct_vs_inverse,-3.8879516876103972,3.271058519372187,-11.090162082264497,1.5327313786504209,1.0454173520157866,16.313175121133433,20.666719455222115
patient_looks,Intercept,-0.8613132110857646,0.33953232676041994,-1.4417053491111655,-0.14501907626181598,1.0523724751880303,17.309891511802537,50.38383838383841
patient_looks,polytimedegreeEQ31,53.22452860055118,10.740228725939854,38.547573693861054,70.77050778003594,1.56724717236112,2.0174686030414315,14.435042309606754
patient_looks,polytimedegreeEQ32,-6.162213487267013,2.6133578350635798,-10.438029747984146,-1.3647074444942253,1.1006421732626257,21.067373431583892,28.977461974020276
patient_looks,polytimedegreeEQ33,16.608512610302018,3.7164675507723857,10.295693717851982,23.58400746813441,1.0470577874730098,9.579102202637435,39.14886195168745
patient_looks,direct_vs_inverse,0.3261254100282506,0.12330223609662008,0.07305595251552766,0.5931061750112765,0.9911854508405566,42.02777371672794,41.65336737950845
patient_looks,polytimedegreeEQ31:direct_vs_inverse,2.5560429619478664,5.922588867718793,-8.545452333172163,12.939434301929857,1.4949989947453382,10.10641018898654,21.631029338637486
patient_looks,polytimedegreeEQ32:direct_vs_inverse,1.0402425706699467,2.7940609154407468,-4.415237176116862,6.715548024680319,1.085966315443403,27.026757777004192,37.54855416486836
patient_looks,polytimedegreeEQ33:direct_vs_inverse,-1.5199971035151452,2.721487258225012,-6.332374111020917,3.0698706125027035,1.0450443945061234,34.77859553702904,39.14886195168745
