asc_file,participant,asc_trials,clean_merged_trials,clean_candidate_bins
k01.asc,К01,76,51,4249
k01_2.asc,К01,69,46,4254
k02.asc,К02,71,0,0
k03.asc,К03,70,41,4182
k03_2.asc,К03,70,53,5134
k04.asc,К04,69,25,2481
k04_1.asc,К04,68,16,1609
k05.asc,К05,91,18,1790
k06.asc,К06,67,28,2645
k06_1.asc,К06,68,29,2727
k07.asc,К07,77,3,403
k07_2.asc,К07,69,10,1080
k08_2_p2.asc,К08,159,0,0
k09.asc,К09,67,0,0
k09_2.asc,К09,67,0,0
k10.asc,К10,74,8,649
k10_1.asc,К10,71,5,594
k11.asc,К11,71,0,0
k11_2.asc,К11,70,0,0
k13.asc,К13,73,12,1692
k13_2.asc,К13,78,37,4198
k14.asc,К14,88,6,524
k14_1.asc,К14,72,11,1212
k15.asc,К15,111,37,2191
k15_1.asc,К15,75,21,2179
k15_2.asc,К15,69,20,2320
k16.asc,К16,67,13,1359
k16_2.asc,К16,70,9,911
k17.asc,К17,67,10,990
k17_1.asc,К17,67,16,1662
k18.asc,К18,74,0,0
k18_2.asc,К18,75,0,0
k19.asc,К19,88,0,0
k19_1.asc,К19,78,0,0
k20.asc,К20,93,8,555
k20_2.asc,К20,94,9,667
k22.asc,К22,91,9,918
k22_1.asc,К22,85,1,93
k24.asc,К24,82,7,897
k24_1.asc,К24,84,14,1857
k25.asc,К25,67,25,2274
k25_2.asc,К25,72,30,2264
